"","CU_Name","Area","Year","AreaTot"
"1","1 - Southern Coastal Streams",11,"1953",1500
"2","1 - Southern Coastal Streams",11,"1954",3500
"3","1 - Southern Coastal Streams",11,"1955",750
"4","1 - Southern Coastal Streams",11,"1956",7500
"5","1 - Southern Coastal Streams",11,"1957",7500
"6","1 - Southern Coastal Streams",11,"1958",3500
"7","1 - Southern Coastal Streams",11,"1959",1500
"8","1 - Southern Coastal Streams",11,"1960",200
"9","1 - Southern Coastal Streams",11,"1961",25
"10","1 - Southern Coastal Streams",11,"1962",200
"11","1 - Southern Coastal Streams",11,"1963",3805.07051710184
"12","1 - Southern Coastal Streams",11,"1964",400
"13","1 - Southern Coastal Streams",11,"1965",200
"14","1 - Southern Coastal Streams",11,"1966",7500
"15","1 - Southern Coastal Streams",11,"1967",8000
"16","1 - Southern Coastal Streams",11,"1968",3500
"17","1 - Southern Coastal Streams",11,"1969",7500
"18","1 - Southern Coastal Streams",11,"1970",7500
"19","1 - Southern Coastal Streams",11,"1971",1500
"20","1 - Southern Coastal Streams",11,"1972",2500
"21","1 - Southern Coastal Streams",11,"1973",7000
"22","1 - Southern Coastal Streams",11,"1974",5500
"23","1 - Southern Coastal Streams",11,"1975",1200
"24","1 - Southern Coastal Streams",11,"1976",3000
"25","1 - Southern Coastal Streams",11,"1977",18000
"26","1 - Southern Coastal Streams",11,"1978",21000
"27","1 - Southern Coastal Streams",11,"1979",1378.23612970973
"28","1 - Southern Coastal Streams",11,"1980",1500
"29","1 - Southern Coastal Streams",11,"1981",2000
"30","1 - Southern Coastal Streams",11,"1982",5000
"31","1 - Southern Coastal Streams",11,"1983",600
"32","1 - Southern Coastal Streams",11,"1984",1500
"33","1 - Southern Coastal Streams",11,"1985",4000
"34","1 - Southern Coastal Streams",11,"1986",1500
"35","1 - Southern Coastal Streams",11,"1987",1000
"36","1 - Southern Coastal Streams",11,"1988",5000
"37","1 - Southern Coastal Streams",11,"1989",850
"38","1 - Southern Coastal Streams",11,"1990",332.043426609165
"39","1 - Southern Coastal Streams",11,"1991",500
"40","1 - Southern Coastal Streams",11,"1992",393
"41","1 - Southern Coastal Streams",11,"1993",1500
"42","1 - Southern Coastal Streams",11,"1994",2200
"43","1 - Southern Coastal Streams",11,"1995",1300
"44","1 - Southern Coastal Streams",11,"1996",2500
"45","1 - Southern Coastal Streams",11,"1997",54
"46","1 - Southern Coastal Streams",11,"1998",1500.62204658322
"47","1 - Southern Coastal Streams",11,"1999",59.5565064317433
"48","1 - Southern Coastal Streams",11,"2000",400
"49","1 - Southern Coastal Streams",11,"2001",655
"50","1 - Southern Coastal Streams",11,"2002",467
"51","1 - Southern Coastal Streams",11,"2003",150
"52","1 - Southern Coastal Streams",11,"2004",676.000936558569
"53","1 - Southern Coastal Streams",11,"2005",337.225575507
"54","1 - Southern Coastal Streams",11,"2006",1259.27495366667
"55","1 - Southern Coastal Streams",11,"2007",37.3725057303875
"56","1 - Southern Coastal Streams",11,"2008",91.1988988797347
"57","1 - Southern Coastal Streams",11,"2009",228.160379809131
"58","1 - Southern Coastal Streams",11,"2010",148.326072566955
"59","1 - Southern Coastal Streams",11,"2011",1175.64077240788
"60","1 - Southern Coastal Streams",11,"2012",318.25720026641
"61","1 - Southern Coastal Streams",11,"2013",1228.45418253679
"62","1 - Southern Coastal Streams",11,"2014",425.128582043534
"63","1 - Southern Coastal Streams",11,"2015",1166.90465967811
"64","1 - Southern Coastal Streams",11,"2016",1246.70166480975
"65","1 - Southern Coastal Streams",11,"2017",285.133714092742
"66","1 - Southern Coastal Streams",11,"2018",439.531153664065
"67","1 - Southern Coastal Streams",12,"1953",26827.8387959321
"68","1 - Southern Coastal Streams",12,"1954",46145.6491548284
"69","1 - Southern Coastal Streams",12,"1955",22849.791397259
"70","1 - Southern Coastal Streams",12,"1956",20981.8366583275
"71","1 - Southern Coastal Streams",12,"1957",23555.2932322852
"72","1 - Southern Coastal Streams",12,"1958",46517.2729517219
"73","1 - Southern Coastal Streams",12,"1959",7203.83984256953
"74","1 - Southern Coastal Streams",12,"1960",9443.99291747836
"75","1 - Southern Coastal Streams",12,"1961",14944.7750019182
"76","1 - Southern Coastal Streams",12,"1962",9578.41748061344
"77","1 - Southern Coastal Streams",12,"1963",11357.5339933946
"78","1 - Southern Coastal Streams",12,"1964",6897.32647806973
"79","1 - Southern Coastal Streams",12,"1965",1863.69032783164
"80","1 - Southern Coastal Streams",12,"1966",8542.81474368079
"81","1 - Southern Coastal Streams",12,"1967",10203.5019105509
"82","1 - Southern Coastal Streams",12,"1968",7217.68324188535
"83","1 - Southern Coastal Streams",12,"1969",8641.38656668235
"84","1 - Southern Coastal Streams",12,"1970",12176.2045275359
"85","1 - Southern Coastal Streams",12,"1971",8694.86887095664
"86","1 - Southern Coastal Streams",12,"1972",16154.4342143181
"87","1 - Southern Coastal Streams",12,"1973",40325.7421011778
"88","1 - Southern Coastal Streams",12,"1974",20576.4466410249
"89","1 - Southern Coastal Streams",12,"1975",13058.1073480494
"90","1 - Southern Coastal Streams",12,"1976",16911.1828299548
"91","1 - Southern Coastal Streams",12,"1977",30245.5595395283
"92","1 - Southern Coastal Streams",12,"1978",20263.6538067287
"93","1 - Southern Coastal Streams",12,"1979",4113.81697756955
"94","1 - Southern Coastal Streams",12,"1980",5104.64735009243
"95","1 - Southern Coastal Streams",12,"1981",13430.8503126222
"96","1 - Southern Coastal Streams",12,"1982",13736.8359022288
"97","1 - Southern Coastal Streams",12,"1983",9573.9780762988
"98","1 - Southern Coastal Streams",12,"1984",13448.5866589977
"99","1 - Southern Coastal Streams",12,"1985",8891.87486105366
"100","1 - Southern Coastal Streams",12,"1986",1588.52907075632
"101","1 - Southern Coastal Streams",12,"1987",3112.85951511203
"102","1 - Southern Coastal Streams",12,"1988",11831.2888048017
"103","1 - Southern Coastal Streams",12,"1989",2403.46059655816
"104","1 - Southern Coastal Streams",12,"1990",991.097139474086
"105","1 - Southern Coastal Streams",12,"1991",3250.68444318546
"106","1 - Southern Coastal Streams",12,"1992",816.613374076921
"107","1 - Southern Coastal Streams",12,"1993",2351.72746911531
"108","1 - Southern Coastal Streams",12,"1994",4852.05244217087
"109","1 - Southern Coastal Streams",12,"1995",1315.06204331541
"110","1 - Southern Coastal Streams",12,"1996",4314.92326951915
"111","1 - Southern Coastal Streams",12,"1997",223.953725625295
"112","1 - Southern Coastal Streams",12,"1998",4479.11959284463
"113","1 - Southern Coastal Streams",12,"1999",177.766757090627
"114","1 - Southern Coastal Streams",12,"2000",1024.27511343219
"115","1 - Southern Coastal Streams",12,"2001",1043.66087777258
"116","1 - Southern Coastal Streams",12,"2002",1393.92117730188
"117","1 - Southern Coastal Streams",12,"2003",475.868621259888
"118","1 - Southern Coastal Streams",12,"2004",2017.75593435738
"119","1 - Southern Coastal Streams",12,"2005",1006.56503474737
"120","1 - Southern Coastal Streams",12,"2006",3758.73667229511
"121","1 - Southern Coastal Streams",12,"2007",111.551021812469
"122","1 - Southern Coastal Streams",12,"2008",272.21429656333
"123","1 - Southern Coastal Streams",12,"2009",681.02266646079
"124","1 - Southern Coastal Streams",12,"2010",442.729879437033
"125","1 - Southern Coastal Streams",12,"2011",3509.10186201046
"126","1 - Southern Coastal Streams",12,"2012",949.947433148084
"127","1 - Southern Coastal Streams",12,"2013",3666.74154257625
"128","1 - Southern Coastal Streams",12,"2014",1268.94161367624
"129","1 - Southern Coastal Streams",12,"2015",3483.02594650443
"130","1 - Southern Coastal Streams",12,"2016",3721.2073926249
"131","1 - Southern Coastal Streams",12,"2017",851.079063033432
"132","1 - Southern Coastal Streams",12,"2018",1311.93101322541
"133","2 - North East Vancouver Island",12,"1953",104262.360292319
"134","2 - North East Vancouver Island",12,"1954",92129.215328737
"135","2 - North East Vancouver Island",12,"1955",99694.2892413565
"136","2 - North East Vancouver Island",12,"1956",54975.6471077858
"137","2 - North East Vancouver Island",12,"1957",63362.2312767775
"138","2 - North East Vancouver Island",12,"1958",78819.1969900563
"139","2 - North East Vancouver Island",12,"1959",31993.0100024242
"140","2 - North East Vancouver Island",12,"1960",54513.4288017538
"141","2 - North East Vancouver Island",12,"1961",59038.1942424255
"142","2 - North East Vancouver Island",12,"1962",24554.468325775
"143","2 - North East Vancouver Island",12,"1963",21284.766613714
"144","2 - North East Vancouver Island",12,"1964",32660.7157187101
"145","2 - North East Vancouver Island",12,"1965",27254.5283350518
"146","2 - North East Vancouver Island",12,"1966",42838.0196791137
"147","2 - North East Vancouver Island",12,"1967",19939.5646783501
"148","2 - North East Vancouver Island",12,"1968",79107.1133516616
"149","2 - North East Vancouver Island",12,"1969",13898.3647641934
"150","2 - North East Vancouver Island",12,"1970",23234.5275643053
"151","2 - North East Vancouver Island",12,"1971",9041.05752981868
"152","2 - North East Vancouver Island",12,"1972",28117.7396261411
"153","2 - North East Vancouver Island",12,"1973",31068.0262363278
"154","2 - North East Vancouver Island",12,"1974",8120.8371536566
"155","2 - North East Vancouver Island",12,"1975",9324.92182561113
"156","2 - North East Vancouver Island",12,"1976",7237.674584445
"157","2 - North East Vancouver Island",12,"1977",17148.1272729684
"158","2 - North East Vancouver Island",12,"1978",19274.0375130975
"159","2 - North East Vancouver Island",12,"1979",7379.03409724616
"160","2 - North East Vancouver Island",12,"1980",16958.332862745
"161","2 - North East Vancouver Island",12,"1981",12094.1221940307
"162","2 - North East Vancouver Island",12,"1982",66345.128274658
"163","2 - North East Vancouver Island",12,"1983",9053.78986907492
"164","2 - North East Vancouver Island",12,"1984",44688.957330546
"165","2 - North East Vancouver Island",12,"1985",80005.1657362819
"166","2 - North East Vancouver Island",12,"1986",102331.575775028
"167","2 - North East Vancouver Island",12,"1987",17923.0626992548
"168","2 - North East Vancouver Island",12,"1988",116824.250873048
"169","2 - North East Vancouver Island",12,"1989",28396.7021549718
"170","2 - North East Vancouver Island",12,"1990",91026.868398727
"171","2 - North East Vancouver Island",12,"1991",87816.0391331865
"172","2 - North East Vancouver Island",12,"1992",140284.965788282
"173","2 - North East Vancouver Island",12,"1993",64745.1804383184
"174","2 - North East Vancouver Island",12,"1994",94886.8680125726
"175","2 - North East Vancouver Island",12,"1995",65662.4784182846
"176","2 - North East Vancouver Island",12,"1996",4203.29643128611
"177","2 - North East Vancouver Island",12,"1997",74300.9944073434
"178","2 - North East Vancouver Island",12,"1998",162996.401779829
"179","2 - North East Vancouver Island",12,"1999",2533.87214238871
"180","2 - North East Vancouver Island",12,"2000",2021.49097027834
"181","2 - North East Vancouver Island",12,"2001",75112.7385753646
"182","2 - North East Vancouver Island",12,"2002",198494.624806736
"183","2 - North East Vancouver Island",12,"2003",22950.2124213378
"184","2 - North East Vancouver Island",12,"2004",10354.6058408785
"185","2 - North East Vancouver Island",12,"2005",46805.0720181642
"186","2 - North East Vancouver Island",12,"2006",45188.9994123618
"187","2 - North East Vancouver Island",12,"2007",15454.3096688314
"188","2 - North East Vancouver Island",12,"2008",6528.20767805645
"189","2 - North East Vancouver Island",12,"2009",14326.2821641939
"190","2 - North East Vancouver Island",12,"2010",20054.6353545185
"191","2 - North East Vancouver Island",12,"2011",82045.7356727466
"192","2 - North East Vancouver Island",12,"2012",21307.1145264281
"193","2 - North East Vancouver Island",12,"2013",15739.7406786295
"194","2 - North East Vancouver Island",12,"2014",6461.06304082806
"195","2 - North East Vancouver Island",12,"2015",24103.7516347114
"196","2 - North East Vancouver Island",12,"2016",69437.837886585
"197","2 - North East Vancouver Island",12,"2017",10385.9126825772
"198","2 - North East Vancouver Island",12,"2018",407.467439622382
"199","2 - North East Vancouver Island",13,"1953",16575
"200","2 - North East Vancouver Island",13,"1954",3725
"201","2 - North East Vancouver Island",13,"1955",975
"202","2 - North East Vancouver Island",13,"1956",975
"203","2 - North East Vancouver Island",13,"1957",4300
"204","2 - North East Vancouver Island",13,"1958",3975
"205","2 - North East Vancouver Island",13,"1959",1025
"206","2 - North East Vancouver Island",13,"1960",1101.65161883568
"207","2 - North East Vancouver Island",13,"1961",1975
"208","2 - North East Vancouver Island",13,"1962",3775
"209","2 - North East Vancouver Island",13,"1963",1975
"210","2 - North East Vancouver Island",13,"1964",1242.44739972826
"211","2 - North East Vancouver Island",13,"1965",500
"212","2 - North East Vancouver Island",13,"1966",3775
"213","2 - North East Vancouver Island",13,"1967",2450
"214","2 - North East Vancouver Island",13,"1968",1900
"215","2 - North East Vancouver Island",13,"1969",800
"216","2 - North East Vancouver Island",13,"1970",3025
"217","2 - North East Vancouver Island",13,"1971",975
"218","2 - North East Vancouver Island",13,"1972",1225
"219","2 - North East Vancouver Island",13,"1973",4346.56878358467
"220","2 - North East Vancouver Island",13,"1974",1526.30590211293
"221","2 - North East Vancouver Island",13,"1975",1624.80728797432
"222","2 - North East Vancouver Island",13,"1976",972.387258271916
"223","2 - North East Vancouver Island",13,"1977",975
"224","2 - North East Vancouver Island",13,"1978",654.340851742781
"225","2 - North East Vancouver Island",13,"1979",793.148232511366
"226","2 - North East Vancouver Island",13,"1980",572.804035714333
"227","2 - North East Vancouver Island",13,"1981",315.685819118016
"228","2 - North East Vancouver Island",13,"1982",886.317996421862
"229","2 - North East Vancouver Island",13,"1983",415.052613114388
"230","2 - North East Vancouver Island",13,"1984",1166.4897934789
"231","2 - North East Vancouver Island",13,"1985",1311.70554206639
"232","2 - North East Vancouver Island",13,"1986",550
"233","2 - North East Vancouver Island",13,"1987",299.68993870529
"234","2 - North East Vancouver Island",13,"1988",560
"235","2 - North East Vancouver Island",13,"1989",687.657827375293
"236","2 - North East Vancouver Island",13,"1990",2376.02126480772
"237","2 - North East Vancouver Island",13,"1991",1063.06247065112
"238","2 - North East Vancouver Island",13,"1992",2417.69733637867
"239","2 - North East Vancouver Island",13,"1993",1256.65357593256
"240","2 - North East Vancouver Island",13,"1994",1700.92776888378
"241","2 - North East Vancouver Island",13,"1995",1713.94938402609
"242","2 - North East Vancouver Island",13,"1996",107.914521530429
"243","2 - North East Vancouver Island",13,"1997",957.815556007409
"244","2 - North East Vancouver Island",13,"1998",2444.60519904423
"245","2 - North East Vancouver Island",13,"1999",63.5510267443562
"246","2 - North East Vancouver Island",13,"2000",1076.95162573759
"247","2 - North East Vancouver Island",13,"2001",967.456045885265
"248","2 - North East Vancouver Island",13,"2002",922.772857128308
"249","2 - North East Vancouver Island",13,"2003",458.831957963026
"250","2 - North East Vancouver Island",13,"2004",375.258274025794
"251","2 - North East Vancouver Island",13,"2005",866.992543557447
"252","2 - North East Vancouver Island",13,"2006",388.280468963797
